Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
L OEIL DU RIVERAIN,@l_riverain,"https://pbs.twimg.com/media/Fkh9JXOXgAIdH0J?format=jpg&name=small, https://pbs.twimg.com/media/Fkh9JXOXgAIdH0J?format=jpg&name=small",,2,1,331,https://twitter.com/l_riverain/status/1605670873763045382,https://twitter.com/l_riverain,L'homme des grands chantiers son excellence Macky Sall,"Dec 21, 2022",2022-12-21T21:05:42.000Z
Émile Shady Kayombo,@shady_emile,,,2,,201,https://twitter.com/shady_emile/status/1605671015685709824,https://twitter.com/shady_emile,"On vous connaît, vous finirez par travailler avec eux","Dec 21, 2022",2022-12-21T21:06:16.000Z
Maxim,@Maxim84137917,,,1,,47,https://twitter.com/Maxim84137917/status/1605671033045778432,https://twitter.com/Maxim84137917,Merci son Excellence non au coup d'État.,"Dec 21, 2022",2022-12-21T21:06:20.000Z
Sokhna Sadikh,@SokhnaSadikh,,,11,2,1.6K,https://twitter.com/SokhnaSadikh/status/1605671042273402901,https://twitter.com/SokhnaSadikh,Dès que j’ai eu écho de cette information je me suis senti trop mal. Pourquoi toujours la sous région ? Bref nous condamnons également cet acte ignoble.,"Dec 21, 2022",2022-12-21T21:06:23.000Z
Daouda YATTE,@DaoudaYATTE2,,1,11,19,7.1K,https://twitter.com/DaoudaYATTE2/status/1605671563143127041,https://twitter.com/DaoudaYATTE2,"Merci excellence pour votre esprit de solidarité . Le meilleur président du Sénégal  depuis l'indépendance . Votre candidature pour 2024 est une demande sociale . 
Macky mon candidat pour 2024","Dec 21, 2022",2022-12-21T21:08:27.000Z
Rahmane Dabo,@DaboRahmane,,5,242,15,12K,https://twitter.com/DaboRahmane/status/1605671829628149776,https://twitter.com/DaboRahmane,"Vient condamner cette chasse aux honnêtes citoyens dans ton propre pays, Dr Alfousseynou Gaye, Pape Alé Niang, Fadilou Keita, Cheikh Oumar Diagne, Outhmane Diagne....
La démocratie sénégalaise est à terre donc vous n'avez pas de leçon à donner aux autres pays africains.","Dec 21, 2022",2022-12-21T21:09:30.000Z
Mahamat Brahim,@Mahamat88024746,,,3,,199,https://twitter.com/Mahamat88024746/status/1605672016215957504,https://twitter.com/Mahamat88024746,Vous avez oublié de condamner Les Actes barbares commis par la junte Tchadienne suites aux exactions de 20 octobre 2022. cessé Un peu avec ces deux poids deux mesures s'il vous plaît.,"Dec 21, 2022",2022-12-21T21:10:15.000Z
"Mouhamed Sar DIOP, justice et droit de l'homme.",@mouhamed_sar,,,6,,350,https://twitter.com/mouhamed_sar/status/1605672017159540736,https://twitter.com/mouhamed_sar,"Nous condamnons aussi toute forme de roublardise pour rester au pouvoir,dans nos sociétés la parole donnée est au dessus de tout.","Dec 21, 2022",2022-12-21T21:10:15.000Z
Daouda YATTE,@DaoudaYATTE2,,1,16,22,14K,https://twitter.com/DaoudaYATTE2/status/1605672046477709312,https://twitter.com/DaoudaYATTE2,"Toutes mes félicitations mon président. Nous sommes fiers de vous président . Votre candidature en 2024 est une demande sociale . 
Focus sur 2024 
Pour votre intérêt dans la commune de yoff et à Dakar il faut nommer Abdoulaye Ndour","Dec 21, 2022",2022-12-21T21:10:22.000Z
AMADOU BA PR 2029,@HadjaDi2,,,3,,37,https://twitter.com/HadjaDi2/status/1605672413064224793,https://twitter.com/HadjaDi2,Merci Excellence pour votre posture adéquate et républicaine.,"Dec 21, 2022",2022-12-21T21:11:49.000Z
Mandiou Drame,@MandiouDrame2,,,4,,437,https://twitter.com/MandiouDrame2/status/1605672603275911168,https://twitter.com/MandiouDrame2,Bouleu yallah di juger Macky dineu tangg si iow déh bayil alalou mbollo bingay lékk douleu djik déh,"Dec 21, 2022",2022-12-21T21:12:35.000Z
AMADOU BA PR 2029,@HadjaDi2,,,3,,37,https://twitter.com/HadjaDi2/status/1605672413064224793,https://twitter.com/HadjaDi2,Merci Excellence pour votre posture adéquate et républicaine.,"Dec 21, 2022",2022-12-21T21:11:49.000Z
Mandiou Drame,@MandiouDrame2,,,4,,437,https://twitter.com/MandiouDrame2/status/1605672603275911168,https://twitter.com/MandiouDrame2,Bouleu yallah di juger Macky dineu tangg si iow déh bayil alalou mbollo bingay lékk douleu djik déh,"Dec 21, 2022",2022-12-21T21:12:35.000Z
PIN,@GmailIbhima,,,,,299,https://twitter.com/GmailIbhima/status/1605662647189352448,https://twitter.com/GmailIbhima,Le pouvoir se prend par les urnes et non par les armes. Vive la démocratie vive le président de L’UA.,"Dec 21, 2022",2022-12-21T20:33:01.000Z
Ibrahima Faye,@ibrahimafaye021,,,,,249,https://twitter.com/ibrahimafaye021/status/1605662739946299393,https://twitter.com/ibrahimafaye021,Macky sougnou bourses yi,"Dec 21, 2022",2022-12-21T20:33:23.000Z
Me Daouda Ibn Faoura Sow,@DFaoura,,,,,25,https://twitter.com/DFaoura/status/1605662992212799488,https://twitter.com/DFaoura,De tout cœur le Président Adama Barro.,"Dec 21, 2022",2022-12-21T20:34:23.000Z
丂卂爪乃卂,@sambapacha19,,,,,224,https://twitter.com/sambapacha19/status/1605663613783416832,https://twitter.com/sambapacha19,Ok,"Dec 21, 2022",2022-12-21T20:36:51.000Z
Princesse khary Ndiaye,@PrincesseKhary,,,,,196,https://twitter.com/PrincesseKhary/status/1605663919191646208,https://twitter.com/PrincesseKhary,Main dans la main avec le peuple Gambien,"Dec 21, 2022",2022-12-21T20:38:04.000Z
Mamoudou Mamou,@MamoudouMamou,,,,,90,https://twitter.com/MamoudouMamou/status/1605664508625575936,https://twitter.com/MamoudouMamou,Merci peresi,"Dec 21, 2022",2022-12-21T20:40:25.000Z
Le Rwanda tue en RDC,@MarcelMobutu,,,,,55,https://twitter.com/MarcelMobutu/status/1605664843264057351,https://twitter.com/MarcelMobutu,"Le chien aboie, la caravane passe paisible et assurément !","Dec 21, 2022",2022-12-21T20:41:45.000Z
