Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Ousmane Sonko,@SonkoOfficiel,"https://pbs.twimg.com/media/GJiuIHOXIAACC3F?format=jpg&name=360x360, https://pbs.twimg.com/media/GJiuIHOXIAACC3F?format=jpg&name=360x360",3.1K,19K,875,,,https://twitter.com/SonkoOfficiel,Merci de suivre la Déclaration de presse du Président Bassirou Diomaye Faye L'officiel  dans quelques instants.,,
Mousti .,@SakhoMoustapha8,"https://pbs.twimg.com/media/GJfA9uvWYAA65D9?format=jpg&name=small, https://pbs.twimg.com/media/GJfA9uvWYAA65D9?format=jpg&name=small",6,252,,18K,https://twitter.com/SakhoMoustapha8/status/1772358755943911782,https://twitter.com/SakhoMoustapha8,Si t'es content de notre nouveau président like   x.com/6point9_/statu…,Mar 25,2024-03-25T20:23:50.000Z
Maxime,@MaxNdayizeye,,6,142,1,11K,https://twitter.com/MaxNdayizeye/status/1772361828313473126,https://twitter.com/MaxNdayizeye,Félicitations au Président élu et  à tout le peuple sénégalais pour votre maturité démocratique. Ça donne espoir à de nombreux pays africains qu’une véritable démocratie est possible. Yes we can!,Mar 25,2024-03-25T20:36:03.000Z
Mousti .,@SakhoMoustapha8,"https://pbs.twimg.com/media/GJivDKqWoAAjfgX?format=jpg&name=small, https://pbs.twimg.com/media/GJivDKqWoAAjfgX?format=jpg&name=small",24,784,9,29K,https://twitter.com/SakhoMoustapha8/status/1772358925473480817,https://twitter.com/SakhoMoustapha8,Merci beaucoup pour tout,Mar 25,2024-03-25T20:24:31.000Z
ArCaDi_DOGE ,@arcadiisback,"https://pbs.twimg.com/tweet_video_thumb/GJjEuvVW8AAWUK3.jpg, https://pbs.twimg.com/tweet_video_thumb/GJjEuvVW8AAWUK3.jpg, https://pbs.twimg.com/tweet_video_thumb/GJjEuvVW8AAWUK3.jpg",1,3,,3.3K,https://twitter.com/arcadiisback/status/1772382770787979636,https://twitter.com/arcadiisback,,Mar 25,2024-03-25T21:59:16.000Z
Nadege Mututi web’s boy,@NadegeMututi,"https://pbs.twimg.com/media/GJiuQQna4AEmoNh?format=jpg&name=360x360, https://pbs.twimg.com/media/GJiuQQna4AEmoNh?format=jpg&name=360x360",8,236,2,11K,https://twitter.com/NadegeMututi/status/1772358055214059718,https://twitter.com/NadegeMututi,Historique,Mar 25,2024-03-25T20:21:03.000Z
I am elegant boutiqu,@saho_nanding,,,17,,7.2K,https://twitter.com/saho_nanding/status/1772358444487479799,https://twitter.com/saho_nanding,Thank you for the update,Mar 25,2024-03-25T20:22:36.000Z
Imperator,@Elh_Momar,"https://pbs.twimg.com/tweet_video_thumb/GJiuoINW0AAs4iN.jpg, https://pbs.twimg.com/tweet_video_thumb/GJiuoINW0AAs4iN.jpg, https://pbs.twimg.com/tweet_video_thumb/GJiuoINW0AAs4iN.jpg",2,233,1,19K,https://twitter.com/Elh_Momar/status/1772358464930476097,https://twitter.com/Elh_Momar,On y va,Mar 25,2024-03-25T20:22:41.000Z
"Sa'a Djoko, Christian",@djoko_officiel,,4,107,3,8.1K,https://twitter.com/djoko_officiel/status/1772371938846851351,https://twitter.com/djoko_officiel,"FÉLICITATIONS au PRÉSIDENT BASSIROU DIOMAYE FAYE!

FÉLICITATIONS au PRÉSIDENT @SonkoOfficiel !

FÉLICITATIONS au BRAVE PEUPLE AFRICAIN du #SÉNEGAL",Mar 25,2024-03-25T21:16:13.000Z
Avis du Messager,@avisdumessager,,,,,1.3K,https://twitter.com/avisdumessager/status/1772521620348797296,https://twitter.com/avisdumessager,Bravo au Nouveau Président,Mar 26,2024-03-26T07:11:00.000Z
Berith Yakitenge,@BerithYakitenge,"https://pbs.twimg.com/media/GJlU1TtXQAA_A3M?format=jpg&name=360x360, https://pbs.twimg.com/media/GJlU1TtXQAA_A3M?format=jpg&name=360x360",1,16,,2.2K,https://twitter.com/BerithYakitenge/status/1772552392631882203,https://twitter.com/BerithYakitenge,"#Sénégal: Félicitations au nouveau @PR_Senegal élu @DiomayeFaye(44 ans)!
Cette victoire démontre que face à un peuple déterminé, aucune velléité dictatoriale ne peut passer.

Sortant par la petite porte après des répressions des manifestants pacifiques, @Macky_Sall n’a pas su  x.com/BerithYakiteng…",Mar 26,2024-03-26T09:13:17.000Z
L’éternel Patriote,@yannick_diatta,,,15,,1.8K,https://twitter.com/yannick_diatta/status/1772616276612939927,https://twitter.com/yannick_diatta,Générosité de cet homme,Mar 26,2024-03-26T13:27:08.000Z
WILLIAM KAPEND TIM'S,@William_Kapend,,,,,2,https://twitter.com/William_Kapend/status/1772645688150495290,https://twitter.com/William_Kapend,https://x.com/william_smith5/William_smith50/status/1770001457267241305?t=cWCawqO8OLB2QVRMCymGFQ&s=19…,Mar 26,2024-03-26T15:24:00.000Z
Akandijack Badji-Ba-Sène,@Akandijack_cHb,,,,,193,https://twitter.com/Akandijack_cHb/status/1775357138971365593,https://twitter.com/Akandijack_cHb,"Félicitations à M. Le PM, j'ai raté qqc moi 
Yep yep yep fire",Apr 3,2024-04-03T02:58:21.000Z
Djibril Gueye,@jamaksalam,,,,,17,https://twitter.com/jamaksalam/status/1786181738755998046,https://twitter.com/jamaksalam,Excellent Travail Mr Le Premier Ministre. Votre engagement pour un Sénégal Juste Prospère est Souverain est noble.,May 2,2024-05-02T23:51:26.000Z
