Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Demp@s@v,@dempasav,https://pbs.twimg.com/ext_tw_video_thumb/1664737395017654274/pu/img/OAr3OUuUglzvtAtY.jpg,,2,,212,https://twitter.com/dempasav/status/1664737435954053120,https://twitter.com/dempasav,"Qui tirent sur les jeunes sénégalais ? Qui exécutent la jeunesse de mon pays ?
Qui donnent les ordres d'abattre les jeunes sénégalais ?
#Justicesenegal
#FreeSenegal
#FreeSonko","Jun 2, 2023",2023-06-02T20:55:08.000Z
Sénégal Élections 2024,@Election2024Sn,"https://pbs.twimg.com/media/Fw_Hv-XWYAAl5zT?format=jpg&name=small, https://pbs.twimg.com/media/Fw_Hv-XWYAAl5zT?format=jpg&name=small",,1,1,40,https://twitter.com/Election2024Sn/status/1661766443812225026,https://twitter.com/Election2024Sn,#ViolencesSexuelles #JusticeSénégal #Senegal #Kebetu #Tl221,"May 25, 2023",2023-05-25T16:09:28.000Z
El_Malick,@elmalick0,"https://pbs.twimg.com/media/FsezDkAXsAgmKso?format=jpg&name=small, https://pbs.twimg.com/media/FsezDkAXsAgmKso?format=jpg&name=small",,4,,111,https://twitter.com/elmalick0/status/1641477469176832000,https://twitter.com/elmalick0,"???? Kou xam kii ???
#FreeSenegal #justiceSenegal #Afrique #Senegal #RFI #Kebetu #france24","Mar 30, 2023",2023-03-30T16:28:20.000Z
Thiam Boy,@thiam_boy27,"https://pbs.twimg.com/ext_tw_video_thumb/1661016788552019969/pu/img/KCGABoZIPAt5h8Mt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1661016788552019969/pu/img/KCGABoZIPAt5h8Mt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1661016788552019969/pu/img/KCGABoZIPAt5h8Mt.jpg",82,205,8,16K,https://twitter.com/thiam_boy27/status/1661016928239128576,https://twitter.com/thiam_boy27,"Pourtant lép #TFM lako Me E.Diouf wakhé dh.
@Nabyleu @ibou_001 @BakhdadO @SergeSerigne @_____Nguri @Awah_Juuf #FreeSeneagal #focus2024 #justicesenegal #ProcesSweetBeauty","May 23, 2023",2023-05-23T14:31:10.000Z
YazzBodian,@BodianYazz,"https://pbs.twimg.com/media/FxEeyu0XwBE4oqP?format=jpg&name=small, https://pbs.twimg.com/media/FxEeyu0XwBE4oqP?format=jpg&name=small",,,,29,https://twitter.com/BodianYazz/status/1662143597192400897,https://twitter.com/BodianYazz,"Ndeye Khady m a fait comprendre qu'il n y a pas de bon avocat mais juste que  LA VÉRITÉ.
#kebetu #JusticeSenegal","May 26, 2023",2023-05-26T17:08:09.000Z
canisius,@canisius1370264,,,,,6,https://twitter.com/canisius1370264/status/1689541563423096832,https://twitter.com/canisius1370264,"""Senegal: Unjustified arrests, opposition leader in prison. Democracy at risk. International community called upon. Let's unite for justice, freedom, and rights.  #JusticeSenegal #PoliticalFreedom""","Aug 10, 2023",2023-08-10T07:37:53.000Z
canisius,@canisius1370264,,,,,16,https://twitter.com/canisius1370264/status/1688420357814767616,https://twitter.com/canisius1370264,"""SOS Senegal: 800 silenced voices, opponents eliminated. Injustice rumbles, human rights trampled. The international community must not remain silent. Let's demand respect for fundamental rights and an end to oppression. #JusticeSenegal #HumanRightsEmergency ""","Aug 7, 2023",2023-08-07T05:22:37.000Z
canisius,@canisius1370264,,,,,11,https://twitter.com/canisius1370264/status/1689540953286029312,https://twitter.com/canisius1370264,"""Sénégal : Arrestations injustifiées, leader de l'opposition en prison. La démocratie en péril. La communauté internationale est interpellée. Mobilisons-nous pour la justice et la liberté et le droit.  #JusticeSénégal #LibertéPolitique""","Aug 10, 2023",2023-08-10T07:35:28.000Z
Balance,@momentum_pix,,,,,28,https://twitter.com/momentum_pix/status/1665157783321288704,https://twitter.com/momentum_pix,"On doit régler le problème des nervis. Depuis mars 21 c'est eux sèment qui  la zizanie. Nos frères sont tués et de leurs côtés tout va bien autorités + nervis.
Les victimes doivent changer de camp comme ça ils sauront qu'est ce qu'on ressent  au quotidien 
#JusticeSenegal","Jun 4, 2023",2023-06-04T00:45:27.000Z
être juste et honnête,@chac1_a_du_bien,,,1,,96,https://twitter.com/chac1_a_du_bien/status/1774553255269257617,https://twitter.com/chac1_a_du_bien,"Ce régime est constitué de délinquants financiers sans aucune considération pour la misère que vivent les Sénégalais
Ils doivent tous répondre de leurs actes
#justiceSenegal",Mar 31,2024-03-31T21:44:00.000Z
Luc T. Mrangaye,@LTMrangaye,,,1,5,7,https://twitter.com/LTMrangaye/status/1772427180561101197,https://twitter.com/LTMrangaye,"@DiomayeFaye; @SonkoOfficiel; @PastefOfficiel
 Il est urgent de prendre toutes les mesures utiles pr empêcher au sieur @Macky_Sall de quitter précipitamment le Sénégal dès la fin de la passation de pouvoir!
 Il doit rendre des comptes pr BEAUCOUP de choses. #JusticeSénégal",Mar 26,2024-03-26T00:55:44.000Z
khayar THIAM Bachir,@BtThiam,,,,,71,https://twitter.com/BtThiam/status/1664225990254395392,https://twitter.com/BtThiam,#JusticeSenegal. Corruption de la jeunesse. Un chef-d'œuvre. 2 ans de prison fermes à O.Sonko!,"Jun 1, 2023",2023-06-01T11:02:50.000Z
Demp@s@v,@dempasav,,2,4,,133,https://twitter.com/dempasav/status/1665711820504432642,https://twitter.com/dempasav,"Ceux qui ont tué François Mankabou, Fulbert Sambou et Didier Badji sont capables d'en faire autant surtout s'il s'agit de jeunes manifestants sénégalais anonymes. La lumière doit être faite.
#FreeSenegal
#FreeSonko
#justicesenegal","Jun 5, 2023",2023-06-05T13:27:00.000Z
The Disciple,@MalikNgom,,,,,308,https://twitter.com/MalikNgom/status/1660994522527023107,https://twitter.com/MalikNgom,"Affaire #Sweetbeaute #ousmanesonko #AdjiSarr vue par #ChatGPT #Woko #IA #JusticeSenegal 
#TikTok","May 23, 2023",2023-05-23T13:02:08.000Z
WANNELTV,@wanneltv,,,1,1,88,https://twitter.com/wanneltv/status/1743210605295604130,https://twitter.com/wanneltv,"SONKO PERD LE DERNIER ROUND FACE À MAME MBAYE NIANG DEVANT LA COUR SUPREME : RÉACTIONS DES AVOCATS
https://wannel.tv/sonko-perd-le-dernier-round-face-a-mame-mbaye-niang-devant-la-cour-supreme-reactions-des-avocats/…
#verdictsonkomamembayeniang #prodac #coursupreme #sonko #mamembayeniang #justicesenegal #senegalRT",Jan 5,2024-01-05T09:59:30.000Z
L OEIL DU RIVERAIN,@l_riverain,,1,5,,226,https://twitter.com/l_riverain/status/1655942143561838593,https://twitter.com/l_riverain,"""Attention à ne pas prendre pour argent comptant les opinion subjective sans preuve tangibles du doulnaliste @papealeniang. Analysons de manière critique la situation de la justice au Sénégal

 #kebetu #JusticeSénégal @Macky_Sall
@elhadjkasse @Free_Sunugal @akfofana @ghosted0022","May 9, 2023",2023-05-09T14:25:47.000Z
Victory 4 Peter Obi CFC,@cvickright,,1,4,,587,https://twitter.com/cvickright/status/1665745750330884098,https://twitter.com/cvickright,"Could it be that Apapa's kinsmen don't want to advise him or he's hell bent like the fly and the corpse story that he don't want to hear. He should plan holding it in Edo, Delta or Rivers. I pity him though.

#AllEyesOnTheJudiciary 
#JusticeSenegal","Jun 5, 2023",2023-06-05T15:41:49.000Z
L OEIL DU RIVERAIN,@l_riverain,,,3,,111,https://twitter.com/l_riverain/status/1655943338129002501,https://twitter.com/l_riverain,"""La responsabilité de donner une analyse objective de la situation ne doit pas être déléguée à l'audience. Exigeons des faits et des données pour étayer les opinions  contrairement à ce doulnaliste @papealeniang #JusticeSénégal 
#kebetu @Free_Sunugal @akfofana @aliounetine16","May 9, 2023",2023-05-09T14:30:32.000Z
Senego.com,@senego,,,6,1,606,https://twitter.com/senego/status/1657032317959798786,https://twitter.com/senego,"Une infraction passible de peine d'emprisonnement. 

Bracelet électronique: Toute tentative d’enlèvement ou de détérioration est considérée comme un délit…

#AlassaneNdiaye #BraceletÉlectronique #JusticeSénégal","May 12, 2023",2023-05-12T14:37:45.000Z
Senego.com,@senego,,,6,1,606,https://twitter.com/senego/status/1657032317959798786,https://twitter.com/senego,"Une infraction passible de peine d'emprisonnement. 

Bracelet électronique: Toute tentative d’enlèvement ou de détérioration est considérée comme un délit…

#AlassaneNdiaye #BraceletÉlectronique #JusticeSénégal","May 12, 2023",2023-05-12T14:37:45.000Z
