Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
UE au Sénégal,@UEauSenegal,,1,3,,,https://twitter.com/UEauSenegal/status/1329448037765304320,https://twitter.com/UEauSenegal,"En savoir plus sur le nouveau Plan d'action de l'UE sur les droits de l'homme et la démocratie 2020-2024.
#EU4HumanRights #EU4Democracy
@ONU_Droits_BRAO @MinjustSn @afrikajom @aliounetine16 @SenegalWim @ajs_senegal @AmnestySenegal","Nov 19, 2020",2020-11-19T15:34:46.000Z
Ameth Ba,@Amethbalevrai,"https://pbs.twimg.com/media/EhlK4w7XsAEWAaC?format=jpg&name=small, https://pbs.twimg.com/media/EhlK4w7XsAEWAaC?format=jpg&name=small",1,1,,,https://twitter.com/Amethbalevrai/status/1304155908717633537,https://twitter.com/Amethbalevrai,Le Pr @Macky_Sall a présidé une réunion autour du plan d'investissements pour un système de santé résilient et pérenne. Un budget de plus de 500 milliards de francs sur la période 2020 2024 est ainsi prévu pour sa mise en œuvre. #Senegal #kebetu,"Sep 10, 2020",2020-09-10T20:32:53.000Z
senegal7,@senegal7com,"https://pbs.twimg.com/media/EhlYsGcXYAAbgf8?format=jpg&name=small, https://pbs.twimg.com/media/EhlYsGcXYAAbgf8?format=jpg&name=small",1,1,,,https://twitter.com/senegal7com/status/1304171084158205953,https://twitter.com/senegal7com,500 milliards de FCFA pour le secteur de la santé sur la période 2020-2024 (Officiel) - https://senegal7.com/500-milliards-de-fcfa-pour-le-secteur-de-la-sante-sur-la-periode-2020-2024-officiel/… #Senegal #Kebetu #team221 #paris #mali #africa,"Sep 10, 2020",2020-09-10T21:33:11.000Z
MousTapha Faye,@MF_NephroEpi,,,3,,,https://twitter.com/MF_NephroEpi/status/1320351115393859587,https://twitter.com/MF_NephroEpi,J'espère que tout cela sera prise en compte dans le plan stratégique 2020-2024.#Senegal #kebetu @abdioufsarr @MinisteredelaS1,"Oct 25, 2020",2020-10-25T13:06:51.000Z
Abdoulaye Diouf Sarr,@abdioufsarr,https://pbs.twimg.com/ext_tw_video_thumb/1304339185906651136/pu/img/T9EABx8-TU7dW6Pk.jpg,4,18,,,https://twitter.com/abdioufsarr/status/1304339507848900609,https://twitter.com/abdioufsarr,"Le plan d’investissement pour un système de santé et d’action sociale résilient et pérenne (2020-2024) touche tous les échelons de la pyramide sanitaire. Des réformes sont aussi envisagées pour plus d’efficience.
Ensemble nous vaincrons
#msas #COVID19sn
#Senegal 
@RTS1_Senegal","Sep 11, 2020",2020-09-11T08:42:26.000Z
Bee Digital,@BeeDigital5,"https://pbs.twimg.com/media/EiOYaWzWsAEafni?format=jpg&name=small, https://pbs.twimg.com/media/EiOYaWzWsAEafni?format=jpg&name=small",,,,,https://twitter.com/BeeDigital5/status/1307055897844293632,https://twitter.com/BeeDigital5,"Le Président sénégalais a annoncé, mercredi 16 septembre, avoir approuvé la Stratégie nationale de lutte contre la corruption au Sénégal sur la période 2020-2024. Macky Sall a appelé les acteurs concernés à apporter leur concours à « l’exécution optimale »","Sep 18, 2020",2020-09-18T20:36:24.000Z
Bee Digital,@BeeDigital5,"https://pbs.twimg.com/media/EiHdZaxX0AAivW2?format=jpg&name=small, https://pbs.twimg.com/media/EiHdZaxX0AAivW2?format=jpg&name=small",,,,,https://twitter.com/BeeDigital5/status/1306568798384816128,https://twitter.com/BeeDigital5,"Le Président Macky Sall a indiqué mercredi avoir approuvé la Stratégie nationale de lutte contre la corruption au Sénégal sur la période 2020-2024, appelant les acteurs concernés à apporter leur concours à ""l’exécution optimale"" de son plan d’actions quinquennal.","Sep 17, 2020",2020-09-17T12:20:51.000Z
Présidence Sénégal,@PR_Senegal,"https://pbs.twimg.com/media/EhlI-3xXYAAUILH?format=jpg&name=360x360, https://pbs.twimg.com/media/EhlI-3xXYAAUILH?format=jpg&name=360x360",36,146,42,,https://twitter.com/PR_Senegal/status/1304153819799072769,https://twitter.com/PR_Senegal,"Le Président @Macky_Sall a présidé, dans le cadre de la relance des activités économiques et sociales post covid, une réunion autour du plan d'investissements pour un système de santé résilient et pérenne. Un budget de 500 milliards de francs est prévu sur la période 2020 2024.","Sep 10, 2020",2020-09-10T20:24:35.000Z
#AFRICA24,@AFRICA24TV,"https://pbs.twimg.com/amplify_video_thumb/1307327596447793158/img/Q-cuKLPJ71YXy-ry.jpg, https://pbs.twimg.com/amplify_video_thumb/1307327596447793158/img/Q-cuKLPJ71YXy-ry.jpg, https://pbs.twimg.com/amplify_video_thumb/1307327596447793158/img/Q-cuKLPJ71YXy-ry.jpg",1,6,,,https://twitter.com/AFRICA24TV/status/1307363827097378817,https://twitter.com/AFRICA24TV,"#Sénégal, Validation de la Stratégie nationale de lutte contre la corruption  sur la période 2020-2024. L’État du Sénégal doit encore faire des efforts pour sortir totalement de la zone rouge, en termes de lutte contre le fléau.","Sep 19, 2020",2020-09-19T17:00:00.000Z
Pulse Sénégal,@PulseSenegal,,,1,,,https://twitter.com/PulseSenegal/status/1304365099533164545,https://twitter.com/PulseSenegal,"Un budget de 500 milliards de francs Cfa est prévu sur la période 2020 2024 pour le secteur de la santé, a tweeté la Présidence de la République.

Pour lire la suite cliquez sur l’image .

https://pulse.sn/news/500-milliards-de-francs-pour-le-secteur-de-la-sante-sur-la-periode-2020-2024/kmc52fb…

#pulsesénégal #sénégal","Sep 11, 2020",2020-09-11T10:24:08.000Z
