Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
amploi,@amploisn,https://pbs.twimg.com/ext_tw_video_thumb/1787606820699164672/pu/img/sOWIALUUGUgULhKG.jpg,422,1K,18,,,https://twitter.com/amploisn,"Étude vs Métier ! Lycéen, il travaille pour payer sa scolarité !

#Amploi #Metier #Salaire #Orientations #Senegal",,
Mamadou Diakhaté,@Niintche,,13,102,7,6.9K,https://twitter.com/Niintche/status/1787742262614507647,https://twitter.com/Niintche,Pouvez vous me passer son numéro s’il vous plaît ?,May 7,2024-05-07T07:12:24.000Z
amploi,@amploisn,,,13,1,1.7K,https://twitter.com/amploisn/status/1787760195734569350,https://twitter.com/amploisn,"Bonjour Monsieur @Niintche , nous n’avions pas pu pas prendre son numéro malheureusement mais nous mettrons cette question dans nos futurs interviews pour ces genres d’initiatives.
Merci à vous",May 7,2024-05-07T08:23:40.000Z
papi thiam,@papithiam12,,,37,,1.4K,https://twitter.com/papithiam12/status/1787744750264574148,https://twitter.com/papithiam12,"J'aime bien comment il s'exprime, soko deglo xamni kou am yaar la mashallah! Mais il fallait mettre ses coordonnés niou meune diap si combat bi",May 7,2024-05-07T07:22:17.000Z
ViE d'EtuDianT,@bablyWatt1,,,18,1,1.3K,https://twitter.com/bablyWatt1/status/1787749641083101524,https://twitter.com/bablyWatt1,"C'est mon gars on est du même village (DOUÉ).     C'est MARCHÉ KERMEL , on y va tous quand on a pas cours histoire de palier aux dépenses.",May 7,2024-05-07T07:41:43.000Z
L’Homme_12,@Haliloulah_D007,,,3,,364,https://twitter.com/Haliloulah_D007/status/1787824822958821527,https://twitter.com/Haliloulah_D007,Ay lima ligey lepp bima donn diangue,May 7,2024-05-07T12:40:28.000Z
Rahmane,@DiamTane,,,7,,965,https://twitter.com/DiamTane/status/1787751740386746849,https://twitter.com/DiamTane,"Je connais ce petit frère, j'ai discuté avec lui et il est très ambitieux",May 7,2024-05-07T07:50:04.000Z
PapiGuirane,@PapiGuirane,,,1,,498,https://twitter.com/PapiGuirane/status/1787824791841374563,https://twitter.com/PapiGuirane,Diangg Sénégal mo chère il te faut béneu somme pour diekhal sa diangg,May 7,2024-05-07T12:40:21.000Z
k.kusanagi,@kaezerkusanagi,,,,2,914,https://twitter.com/kaezerkusanagi/status/1787754779680153946,https://twitter.com/kaezerkusanagi,Jau besoin de son numéro svp.,May 7,2024-05-07T08:02:09.000Z
Guelwaar,@laminefall22,,,13,,599,https://twitter.com/laminefall22/status/1787831643249496101,https://twitter.com/laminefall22,Souma guissé ay nit di khass  Jeunesse bi daf may métti koi sougnou waré diangui xam nén ko sou waré liguéyi xam nén ko sougnou waré xex aussi xam nén ko kén eupou lén diom,May 7,2024-05-07T13:07:34.000Z
l'oeildusocial,@oeil_social,,1,6,,769,https://twitter.com/oeil_social/status/1787790202884301274,https://twitter.com/oeil_social,"Le travail paie toujours, un jour viendra tu sera fière de ton parcours",May 7,2024-05-07T10:22:54.000Z
Makhoudia i hate U !,@Gladoumars,,,6,,187,https://twitter.com/Gladoumars/status/1787935762219999710,https://twitter.com/Gladoumars,"Il est ambitieux, il réussira in sha Allah",May 7,2024-05-07T20:01:18.000Z
Valproate de Sodium,@IBARHAM_CHEIKH,,,3,,475,https://twitter.com/IBARHAM_CHEIKH/status/1787826703982633255,https://twitter.com/IBARHAM_CHEIKH,Ay gni meunoul wakh té doundou pire yalla diekhoul force aux autres aussi,May 7,2024-05-07T12:47:57.000Z
Mamadou Moustapha Ndiaye,@MamadMoustapha,,,,,274,https://twitter.com/MamadMoustapha/status/1787843347450577310,https://twitter.com/MamadMoustapha,De tout cœur,May 7,2024-05-07T13:54:05.000Z
MahSoda,@soda_marema,,,,,704,https://twitter.com/soda_marema/status/1787755163765104852,https://twitter.com/soda_marema,,May 7,2024-05-07T08:03:40.000Z
Ben Anna,@badoobenanna,,,2,1,955,https://twitter.com/badoobenanna/status/1787734182929609212,https://twitter.com/badoobenanna,Du coup vous avez des coordonnés? Des contacts? Une bio? Un site web? (Qu’on pourrait vous faire d’ailleurs) …,May 7,2024-05-07T06:40:18.000Z
