Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Califat,@dipdunduguiss,https://pbs.twimg.com/amplify_video_thumb/1787480263603224576/img/VHUM4QUJbfVhsAVb.jpg,186,1.2K,15,28K,https://twitter.com/dipdunduguiss/status/1787480414426144915,https://twitter.com/dipdunduguiss,"Un honneur d’être le parrain du gala de charité de la Fondation Papiss Demba Cissé qui aura lieu ce jour au Hilton de Manchester ! Une initiative noble, portée par un fils du Sénégal  pour soutenir des causes en rapport avec le social, le sport, l’éducation, la santé et la…",May 6,2024-05-06T13:51:55.000Z
BALAI CITOYEN SENEGAL,@BalaiCit_,"https://pbs.twimg.com/media/GNiG-u_XIAAsD3z?format=jpg&name=900x900, https://pbs.twimg.com/media/GNiG-u_XIAAsD3z?format=jpg&name=900x900",19,40,1,3.4K,https://twitter.com/BalaiCit_/status/1790331077292077249,https://twitter.com/BalaiCit_,"Les paris sportifs peuvent entraîner des problèmes financiers, des dépendances et des conséquences néfastes sur la santé mentale. Au lieu de parier, pourquoi ne pas profiter du sport en tant que spectateur. 
Balai Citoyen dit "" Non aux Paris Sportifs """,4h,2024-05-14T10:39:26.000Z
Ginger,@972Fubu,,,,,11,https://twitter.com/972Fubu/status/1790381317361668142,https://twitter.com/972Fubu,"Diomaye Faye n'a qu'à réglér le problème des hôpitaux et de la santé  au Sénégal. Le pays la ne va pas avancer si les question de santé ne sont pas régler, c'est là qu'il faut investir. C'est abusé là.  Et que tout le monde ai accès aux soins bon sang",53m,2024-05-14T13:59:04.000Z
FAO en français,@FAOenFrancais,"https://pbs.twimg.com/ext_tw_video_thumb/1789208901721743360/pu/img/QJyaLT4OAamYTcAF.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789208901721743360/pu/img/QJyaLT4OAamYTcAF.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789208901721743360/pu/img/QJyaLT4OAamYTcAF.jpg",1,4,,282,https://twitter.com/FAOenFrancais/status/1789210143797707147,https://twitter.com/FAOenFrancais,"Au Sénégal, les oiseaux d'eau sont essentiels à la santé des écosystèmes.

Découvrez comment @FAO soutient la préservation de la #biodiversité en formant les jeunes à la gestion durable des zones humides. 

https://bit.ly/3y9BKW9

#JournéeDesOiseauxMigrateurs  #RESSOURCEProject",May 11,2024-05-11T08:25:14.000Z
SenePlus.com,@SenePlus,,,2,,133,https://twitter.com/SenePlus/status/1787793199353794895,https://twitter.com/SenePlus,"Gratuite de la dialyse au #Sénégal - La prise en charge des malades du rein est un véritable serpent de mer dans les politiques de santé communautaire au Sénégal. 
 https://seneplus.com/sante/un-veritable-sac-noeud… #Sante",May 7,2024-05-07T10:34:48.000Z
La Vie Sénégalaise,@LVS_Officiel,,,1,,34,https://twitter.com/LVS_Officiel/status/1787822662246441003,https://twitter.com/LVS_Officiel,L’OMS salue l’amélioration de la santé maternelle et néonatale au Sénégal,May 7,2024-05-07T12:31:53.000Z
YANG,@LhPysco,,,1,1,27,https://twitter.com/LhPysco/status/1790127096620105937,https://twitter.com/LhPysco,"La légalisation de la prostitution au Sénégal a été mise en place pour des raisons de santé publique. L’objectif c’est de contrôler la propagation des infections sexuellement transmissibles (IST) grâce à des contrôles médicaux réguliers et des traitements.
Pour moi c’est l’idéal.",17h,2024-05-13T21:08:53.000Z
Clopclop,@MasheinchozXray,,,,,21,https://twitter.com/MasheinchozXray/status/1787419950749036602,https://twitter.com/MasheinchozXray,"Réveil !.....il faut être en bonne santé 24H/24H et 365 Jrs/365Jrs et pas un seul petit bobo.
Pendant ces temps on parle des milliards détournés.
La population tire le diable par la queue mais garde toujours son sourire....C'est merveilleux !",May 6,2024-05-06T09:51:39.000Z
Bant Gokh,@DiomThiong,,,,1,66,https://twitter.com/DiomThiong/status/1788130602060824822,https://twitter.com/DiomThiong,"Alors que la #santé est une affaire de femmes votre ministère au #Sénégal est pléthorique d'hommes qui sont omniprésents là où ils sont le moins compétents
Élisez des #femmes aux postes clés
@zoubyben 
@libsonlibain 
@EneffeKei 
@PR_Diomaye 
#kebetu",May 8,2024-05-08T08:55:32.000Z
Dr. Ably,@alane_ly,,,,,269,https://twitter.com/alane_ly/status/1787546338520879463,https://twitter.com/alane_ly,C’est triste en effet. Mais Peut-être qu’elle était malade sans le savoir. Beaucoup traînent des maladies sans en rendre compte jusqu’au jour fatidique. Au Sénégal nous n’avons pas la culture des bilans de santé. On ne va à l’hôpital que c’est trop tard malheureusement.,May 6,2024-05-06T18:13:52.000Z
Colette Gueye,@ColetteGueye,,1,1,1,89,https://twitter.com/ColetteGueye/status/1789604475751068103,https://twitter.com/ColetteGueye,"Ils sont instruits, dans la plupart des cas, très instruits. Au Sénégal, il faut s’attaquer au plus vite à l’éducation, à l’instruction, dans toutes les langues, étrangères comme nationales. L’éducation des masses est la base de tout. Ça reste une priorité. La santé en dépend…",May 12,2024-05-12T10:32:10.000Z
