Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Le Surhomme,@SidyMouham97778,"https://pbs.twimg.com/ext_tw_video_thumb/1787599219819225089/pu/img/AiX8uE5IK7Y4Za-Y.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787599219819225089/pu/img/AiX8uE5IK7Y4Za-Y.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787599219819225089/pu/img/AiX8uE5IK7Y4Za-Y.jpg",9,86,1,2.9K,https://twitter.com/SidyMouham97778/status/1787599291755708919,https://twitter.com/SidyMouham97778,La joie des pêcheurs Sénégalais en ce moment  Merci son excellence Monsieur Bassirou Diomaye Faye.,May 6,2024-05-06T21:44:17.000Z
Bubacar Balde,@Bubacar39539705,"https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg",4,23,1,1.4K,https://twitter.com/Bubacar39539705/status/1788170632322060681,https://twitter.com/Bubacar39539705,Merci beaucoup  Ousmane Sonko et président bassirou Diomaye faye.,May 8,2024-05-08T11:34:36.000Z
Lioudiego Sall,@lioudiego,"https://pbs.twimg.com/ext_tw_video_thumb/1789793966818267136/pu/img/hSDxbf2wTFuZEgZt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789793966818267136/pu/img/hSDxbf2wTFuZEgZt.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789793966818267136/pu/img/hSDxbf2wTFuZEgZt.jpg",115,1.6K,9,25K,https://twitter.com/lioudiego/status/1789794095704993807,https://twitter.com/lioudiego,"Enfin la VDN3 commence à être éclairé 
Merci son excellence Bassirou Diomaye Faye",May 12,2024-05-12T23:05:39.000Z
Projet PASTEF,@projetpastef,"https://pbs.twimg.com/ext_tw_video_thumb/1787603952957046784/pu/img/vCLe36Nk_70hknDZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787603952957046784/pu/img/vCLe36Nk_70hknDZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787603952957046784/pu/img/vCLe36Nk_70hknDZ.jpg",38,240,3,4.8K,https://twitter.com/projetpastef/status/1787604270444904737,https://twitter.com/projetpastef,"Son excellence Bassirou Diomaye faye vous êtes sur la bonne voie n'écoutez pas ses oiseaux de mauvaises augures, ce pays va changer inchalah",May 6,2024-05-06T22:04:04.000Z
Kilifeuu Guii,@AldianaSafara,"https://pbs.twimg.com/ext_tw_video_thumb/1789745040790544384/pu/img/0R_2wIvQYI3y090T.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789745040790544384/pu/img/0R_2wIvQYI3y090T.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789745040790544384/pu/img/0R_2wIvQYI3y090T.jpg",39,410,1,16K,https://twitter.com/AldianaSafara/status/1789745126748631075,https://twitter.com/AldianaSafara,#BAL: DIOMAYE FAYE & PAUL KAGAMÉ dans les tribunes à #DakarArena,May 12,2024-05-12T19:51:04.000Z
Ly_Citizen,@ly_citizen,"https://pbs.twimg.com/media/GM7VXcIXoAAt9i2?format=jpg&name=360x360, https://pbs.twimg.com/media/GM7VXcIXoAAt9i2?format=jpg&name=360x360",76,735,2,10K,https://twitter.com/ly_citizen/status/1787600716267147637,https://twitter.com/ly_citizen,"Le Président de la République Bassirou Diomaye Faye a reçu en audience cet après-midi,l'Honorable Dato' Seri Utama Haji Mohamad bin Haji Hasan, Ministre des Affaires étrangères de la Malaisie. Cette rencontre s'inscrit dans le cadre du renforcement de la coopération bilatérale…",May 6,2024-05-06T21:49:57.000Z
Chroniques 225,@Chroniques225,"https://pbs.twimg.com/media/GM-aRz3XAAIm-_m?format=jpg&name=small, https://pbs.twimg.com/media/GM-aRz3XAAIm-_m?format=jpg&name=small",22,288,4,7.7K,https://twitter.com/Chroniques225/status/1787817211513475122,https://twitter.com/Chroniques225,"• Le Président sénégalais, Bassirou Diomaye Faye, est à Abidjan.

Il a été accueilli par le vice-président de la Côte d’Ivoire, Tiemoko Meyliet Koné.",May 7,2024-05-07T12:10:13.000Z
The Chronicles,@ChroniclesRW,"https://pbs.twimg.com/media/GM-UVqtW4AAAGA0?format=jpg&name=small, https://pbs.twimg.com/media/GM-UVqtW4AAAGA0?format=jpg&name=small",446,1.4K,55,133K,https://twitter.com/ChroniclesRW/status/1787810680055185541,https://twitter.com/ChroniclesRW,"UPDATE: Senegal's new President Diomaye Faye bans airport ceremonies during his arrival or departure. He says Govt officials have more important things to do.  So, he will be arriving & departing without any fuss. No formal greetings, no ceremonies, just him and his team.",May 7,2024-05-07T11:44:16.000Z
𝕋𝕠𝕟𝕦𝕩 #𝟛𝟙𝟛,@tonux_samb,https://pbs.twimg.com/media/GNBcy_MXIAAqJrq?format=jpg&name=small,48,277,5,4.4K,https://twitter.com/tonux_samb/status/1790294981279924465,https://twitter.com/tonux_samb,"Bonjour! Que le Bon Dieu veille sur le Sénégal et sur son Excellence Bassirou Diomaye Faye, Président de Tous les Sénégalais.",6h,2024-05-14T08:16:00.000Z
African Hub,@AfricanHub_,https://pbs.twimg.com/amplify_video_thumb/1788083793493942272/img/3AemzBgWlfU3VYaN.jpg,386,704,35,35K,https://twitter.com/AfricanHub_/status/1788084482072858722,https://twitter.com/AfricanHub_,"Absolute panic after Senegal's President's , Bassirou Diomaye Faye, BOLD Announcement

Your comments on this ...",May 8,2024-05-08T05:52:16.000Z
