Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Ayoba FAYE,@autruicomoi,"https://pbs.twimg.com/media/GNim1DIWsAAX6E1?format=jpg&name=360x360, https://pbs.twimg.com/media/GNim1DIWsAAX6E1?format=jpg&name=360x360",301,1.2K,38,29K,https://twitter.com/autruicomoi/status/1790364294242029966,https://twitter.com/autruicomoi,"Le Premier ministre Ousmane Sonko ordonne au DSCOS, « de procéder à la suspension de toutes les constructions et autres travaux sur les anciennes dépendances du Domaine Public Maritime (DPM) dans la Région de Dakar, pour un délai de deux (02) mois, à compter du 13 mai ». Ce par…",1h,2024-05-14T12:51:25.000Z
Jeune Patriote Panafricain,@Jeune_Activiste,"https://pbs.twimg.com/ext_tw_video_thumb/1790389740388200448/pu/img/etvfajnP9AwRhugZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790389740388200448/pu/img/etvfajnP9AwRhugZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790389740388200448/pu/img/etvfajnP9AwRhugZ.jpg",4,12,1,120,https://twitter.com/Jeune_Activiste/status/1790389951969829093,https://twitter.com/Jeune_Activiste,"Conseil Interministériel consacré à la Tabaski 2024 : Le Premier Ministre Ousmane SONKO, a évalué mardi, les besoins du Sénégal à 810.000 têtes de moutons. Des mesures importantes sont attendues à la fin des travaux qui se tiennent au CICAD de Diamniadio.",7m,2024-05-14T14:33:23.000Z
Bubacar Balde,@Bubacar39539705,"https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788170604320858113/pu/img/jHGcB8zqkt2jNZBy.jpg",4,23,1,1.4K,https://twitter.com/Bubacar39539705/status/1788170632322060681,https://twitter.com/Bubacar39539705,Merci beaucoup  Ousmane Sonko et président bassirou Diomaye faye.,May 8,2024-05-08T11:34:36.000Z
𝐒𝐢𝐫 𝐒𝐞𝐜𝐤,@SirSeck,"https://pbs.twimg.com/ext_tw_video_thumb/1790373803475804161/pu/img/FW8BeIMz0Ra_VHA0.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790373803475804161/pu/img/FW8BeIMz0Ra_VHA0.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1790373803475804161/pu/img/FW8BeIMz0Ra_VHA0.jpg",8,40,,497,https://twitter.com/SirSeck/status/1790373883440160829,https://twitter.com/SirSeck,"Conseil interministériel consacré à la Tabaski 2024 , le premier ministre Ousmane SONKO , a évalué mardi, les besoins du Sénégal à 810.000 têtes de moutons. Des mesures importantes sont attendues à la fin des travaux qui se tiennent au Cicad de Diamniadio.
APS TV",1h,2024-05-14T13:29:32.000Z
𝐋E 𝐂𝐈𝐓𝐈𝐙𝐄𝐍,@MasseneDIOUF3,"https://pbs.twimg.com/media/GNisU0KXsAAvRdb?format=jpg&name=small, https://pbs.twimg.com/media/GNisU0KXsAAvRdb?format=jpg&name=small",4,28,1,548,https://twitter.com/MasseneDIOUF3/status/1790370328348107142,https://twitter.com/MasseneDIOUF3,"Une décision du Premier MINISTRE Ousmane SONKO 

Suspension de toutes les constructions et autres travaux sur les anciennes dépendances du Domaine Public Maritime (DPM) dans la Région de Dakar, pour un délai de deux (02) mois à compter du 13 mai.",1h,2024-05-14T13:15:24.000Z
Chronique 221,@chronique221,https://pbs.twimg.com/ext_tw_video_thumb/1788992685266657280/pu/img/bp9in2tSDvWT4uav.jpg,18,59,50,6.9K,https://twitter.com/chronique221/status/1788992756141965804,https://twitter.com/chronique221,"Pendant que le vol de Transair à destination de Bamako était à feu avec des blessés, le PM Ousmane Sonko a préféré aller jouer au football avec ses amis au lieu d’aller à l’aéroport au chevet des victimes.
Sonko et Diomaye ne savent ce qui représente la gestion de l’Etat.",May 10,2024-05-10T18:01:25.000Z
Kamaline,@FallouKama33659,"https://pbs.twimg.com/media/GNi5vIOWUAApH8_?format=jpg&name=360x360, https://pbs.twimg.com/media/GNi5vIOWUAApH8_?format=jpg&name=360x360",,,,5,https://twitter.com/FallouKama33659/status/1790385080189284765,https://twitter.com/FallouKama33659,"Le Pm demande l'arrêt des constructions Sur le DPM
SONKO DOU FOH DEH EN PLUS AMNA PEUPLE BI AMNA LACRIMOGENE DERRIÈRE LUI
#ousmanesonko @autruicomoi",26m,2024-05-14T14:14:01.000Z
Lanceurs d’alerte au Sénégal,@ldsenegalais,"https://pbs.twimg.com/media/GNilJAuX0AAPeqG?format=jpg&name=360x360, https://pbs.twimg.com/media/GNilJAuX0AAPeqG?format=jpg&name=360x360",2,30,1,468,https://twitter.com/ldsenegalais/status/1790362433254477846,https://twitter.com/ldsenegalais,"Urgent : Le PM Ousmane Sonko suspend par arrêté (006632) et pour deux au mois, les travaux de construction sur le domaine public maritime.

Le Premier ministre sénégalais, Ousmane Sonko, suspend temporairement tous les travaux sur le domaine public maritime de Dakar pour…",1h,2024-05-14T12:44:02.000Z
Ayoba FAYE,@autruicomoi,https://pbs.twimg.com/media/GNaWlpWXMAEgwJ7?format=jpg&name=small,425,3.1K,22,68K,https://twitter.com/autruicomoi/status/1789783481548939477,https://twitter.com/autruicomoi,Ousmane Sonko est allé rendre visite à Serigne Habib Sy « Dabakh » qui n’a jamais caché son soutien à l’actuel Premier ministre au moment où il était considéré comme infréquentable par beaucoup d’autres guides religieux #Kebetu,May 12,2024-05-12T22:23:29.000Z
꧁𝔈𝔩~𝘗𝓲𝘉è~𝕵ℛ𓃵꧂,@LayeSeckSeckFCB,https://pbs.twimg.com/ext_tw_video_thumb/1790374726658895872/pu/img/Ox7hjRGAWWW89qFI.jpg,6,35,,532,https://twitter.com/LayeSeckSeckFCB/status/1790374818757431626,https://twitter.com/LayeSeckSeckFCB,"Conseil interministériel consacré à la Tabaski 2024 : Le PM Ousmane SONKO, a évalué mardi, les besoins du Sénégal à 810.000 têtes de moutons. Des mesures importantes sont attendues à la fin des travaux qui se tiennent au Cicad de Diamniadio.",1h,2024-05-14T13:33:15.000Z
Ayoba FAYE,@autruicomoi,https://pbs.twimg.com/media/GNdFNihWYAAy5T9?format=jpg&name=small,216,1.8K,12,56K,https://twitter.com/autruicomoi/status/1789975485142769974,https://twitter.com/autruicomoi,Kagame raccompagné à son départ de Dakar par le Premier ministre Ousmane Sonko #Kebetu,May 13,2024-05-13T11:06:26.000Z
babacar Ndiaye,@babacar29400781,"https://pbs.twimg.com/ext_tw_video_thumb/1787530424605945857/pu/img/grFEgESvYi-QNuGm.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787530424605945857/pu/img/grFEgESvYi-QNuGm.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787530424605945857/pu/img/grFEgESvYi-QNuGm.jpg",69,395,1,6.4K,https://twitter.com/babacar29400781/status/1787530572270535085,https://twitter.com/babacar29400781,Ousmane Sonko est un modèle à suivre pour tous les fonctionnaires. Son dévouement et son engagement pour le Sénégal sont une inspiration.,May 6,2024-05-06T17:11:13.000Z
