Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Ousmane Sonko,@SonkoOfficiel,"https://pbs.twimg.com/media/GBT8OWaW8AAVnXe?format=jpg&name=small, https://pbs.twimg.com/media/GBT8OWaW8AAVnXe?format=jpg&name=small",4.3K,16K,877.0,,,https://twitter.com/SonkoOfficiel,"Gloire à Dieu, l’Unique !
Honneurs à mes dévoués, brillants, désintéressés et loyaux avocats !
Reconnaissance infinie à ce formidable peuple sénégalais !
Remerciements à tous nos soutiens africains et étrangers !
Que la paix et la bénédiction divine inondent notre pays.
#Focus2024 
#SonkoPresident2024",,
Lamin Tamba,@LaminTamba,,,,,181,https://twitter.com/LaminTamba/status/1735309904804491774,https://twitter.com/LaminTamba,Great work! Congratulations @Official_APRC,"Dec 14, 2023",2023-12-14T14:44:56.000Z
Florian Esdras,@Code__Addict,,,,,124,https://twitter.com/Code__Addict/status/1735289396994203889,https://twitter.com/Code__Addict,#SonkoPresident2024 !!!,"Dec 14, 2023",2023-12-14T13:23:27.000Z
Rosonero,@SeydinaBao,,1,14,,507,https://twitter.com/SeydinaBao/status/1735289489956683829,https://twitter.com/SeydinaBao,NDAM rék ! Say mbir dou iow Yalla leu ! NDAM rék,"Dec 14, 2023",2023-12-14T13:23:49.000Z
Nadege Mututi web’s boy,@NadegeMututi,,10,238,2.0,19K,https://twitter.com/NadegeMututi/status/1735289952533913700,https://twitter.com/NadegeMututi,"Si brave, si tenace ! 

Admirative 

Jeunesse des siècles d’incendie","Dec 14, 2023",2023-12-14T13:25:39.000Z
IMHOTEPIHAMESSOU,@Ihamessou1,,,,,211,https://twitter.com/Ihamessou1/status/1735289999581421689,https://twitter.com/Ihamessou1,Mbidda wondey en ma Kaw à jarama dey neddo âme,"Dec 14, 2023",2023-12-14T13:25:50.000Z
KHALIL,@BasseneIbra,"https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg, https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg, https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg",3,50,,7.2K,https://twitter.com/BasseneIbra/status/1735290777234772318,https://twitter.com/BasseneIbra,Amine,"Dec 14, 2023",2023-12-14T13:28:56.000Z
Ousmane Sonko,@SonkoOfficiel,"https://pbs.twimg.com/media/GBT8OWaW8AAVnXe?format=jpg&name=small, https://pbs.twimg.com/media/GBT8OWaW8AAVnXe?format=jpg&name=small",4.3K,16K,877.0,,,https://twitter.com/SonkoOfficiel,"Gloire à Dieu, l’Unique !
Honneurs à mes dévoués, brillants, désintéressés et loyaux avocats !
Reconnaissance infinie à ce formidable peuple sénégalais !
Remerciements à tous nos soutiens africains et étrangers !
Que la paix et la bénédiction divine inondent notre pays.
#Focus2024 
#SonkoPresident2024",,
Lamin Tamba,@LaminTamba,,,,,181,https://twitter.com/LaminTamba/status/1735309904804491774,https://twitter.com/LaminTamba,Great work! Congratulations @Official_APRC,"Dec 14, 2023",2023-12-14T14:44:56.000Z
Florian Esdras,@Code__Addict,,,,,124,https://twitter.com/Code__Addict/status/1735289396994203889,https://twitter.com/Code__Addict,#SonkoPresident2024 !!!,"Dec 14, 2023",2023-12-14T13:23:27.000Z
Rosonero,@SeydinaBao,,1,14,,507,https://twitter.com/SeydinaBao/status/1735289489956683829,https://twitter.com/SeydinaBao,NDAM rék ! Say mbir dou iow Yalla leu ! NDAM rék,"Dec 14, 2023",2023-12-14T13:23:49.000Z
Nadege Mututi web’s boy,@NadegeMututi,,10,238,2.0,19K,https://twitter.com/NadegeMututi/status/1735289952533913700,https://twitter.com/NadegeMututi,"Si brave, si tenace ! 

Admirative 

Jeunesse des siècles d’incendie","Dec 14, 2023",2023-12-14T13:25:39.000Z
IMHOTEPIHAMESSOU,@Ihamessou1,,,,,211,https://twitter.com/Ihamessou1/status/1735289999581421689,https://twitter.com/Ihamessou1,Mbidda wondey en ma Kaw à jarama dey neddo âme,"Dec 14, 2023",2023-12-14T13:25:50.000Z
KHALIL,@BasseneIbra,"https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg, https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg, https://pbs.twimg.com/tweet_video_thumb/GBT9wp3WgAAqYHu.jpg",3,50,,7.2K,https://twitter.com/BasseneIbra/status/1735290777234772318,https://twitter.com/BasseneIbra,Amine,"Dec 14, 2023",2023-12-14T13:28:56.000Z
L’éternel Patriote,@yannick_diatta,,13,176,,9.9K,https://twitter.com/yannick_diatta/status/1735290834453455332,https://twitter.com/yannick_diatta,"Nitou yalla kirasoulay 
Nous voterons pour toi chers leader","Dec 14, 2023",2023-12-14T13:29:09.000Z
Youssouf DIOP,@SmartYouss_jo,,7,96,1.0,13K,https://twitter.com/SmartYouss_jo/status/1735292080555978851,https://twitter.com/SmartYouss_jo,"Quel soulagement et quel formidable motif d'espoir ! 
Il faudra laisser à l'histoire le soin d'analyser toute cette séquence, mais aujourd'hui, en avant ! 
Merci @SonkoOfficiel pour votre abnégation, votre ténacité, et votre courage dans toute cette épreuve !","Dec 14, 2023",2023-12-14T13:34:06.000Z
Issiakou Dantani,@DantaniIssiakou,,7,182,,12K,https://twitter.com/DantaniIssiakou/status/1735293190243037490,https://twitter.com/DantaniIssiakou,Waou!  Ça c'est un grand jour de victoire  pour les africains  et surtout pour les Sénégalais. Merci à la justice du Sénégal qui vient de redorer son blason avec ce verdict tant attendu pour la candidature  de Sanko à la présidentielle de 2024.,"Dec 14, 2023",2023-12-14T13:38:31.000Z
CHEIKH SENE,@CheikhSENE03,,3,46,32.0,10K,https://twitter.com/CheikhSENE03/status/1735293737461330374,https://twitter.com/CheikhSENE03,"N’oublie pas qu’il y a prolongation, le match n’a pas terminé 
J’espère que tu reviendras pour nous éclaircir sur l’affaire des 12 milliards","Dec 14, 2023",2023-12-14T13:40:41.000Z
Poncia,@Poncia_N,,6,173,2.0,14K,https://twitter.com/Poncia_N/status/1735295106222031231,https://twitter.com/Poncia_N,"Le Sénégal, 
Terre des lions,
A sûrement l’une des jeunesses les plus lumineuses de ce début de 21è siècle !

Graine de la RDC, je suis fier de partager ce temps et ce continent avec mes contemporains Sénégalais. 

Que Dieu, Le Tout-puissant, bénisse le Sénégal","Dec 14, 2023",2023-12-14T13:46:08.000Z
Mahamadou M. Diakité,@mowassolon,,3,24,,4.3K,https://twitter.com/mowassolon/status/1735297108306022549,https://twitter.com/mowassolon,BRAVO! BRAVO! BRAVO!,"Dec 14, 2023",2023-12-14T13:54:05.000Z
✰ Mafia Kacc Kacci 𓃵✰,@MafiaKaccKacci1,,8,104,,4.1K,https://twitter.com/MafiaKaccKacci1/status/1735297231534580057,https://twitter.com/MafiaKaccKacci1,"Partout où le droit est dit, le Président Ousmane sonko triomphera","Dec 14, 2023",2023-12-14T13:54:34.000Z
Imperator,@Elh_Momar,"https://pbs.twimg.com/media/GBUKLZTWcAAYPgT?format=jpg&name=small, https://pbs.twimg.com/media/GBUKLZTWcAAYPgT?format=jpg&name=small",26,434,6.0,21K,https://twitter.com/Elh_Momar/status/1735304427760681150,https://twitter.com/Elh_Momar,Let’s go Prési la route vers le Palais est toute tracée,"Dec 14, 2023",2023-12-14T14:23:10.000Z
@wendmalgde$MON $PORK,@wendmalgde$MON $PORK,,,,,150,https://twitter.com/burkimdi/status/1735310921755439403,https://twitter.com/burkimdi,Focus2024 pro5,"Dec 14, 2023",2023-12-14T14:48:58.000Z
Descendants de Thomas Sankara,@L_Activiste226,,2,34,,5.6K,https://twitter.com/L_Activiste226/status/1735321317694476546,https://twitter.com/L_Activiste226,Sonko Président 2024,"Dec 14, 2023",2023-12-14T15:30:17.000Z
Alpha Bah,@AlphajorbaBah,,,30,,2.8K,https://twitter.com/AlphajorbaBah/status/1735328116078166332,https://twitter.com/AlphajorbaBah,"Congratulations!!  The Change we are fighting for in Senegal is a change for West Africa and Africa. Congratulations, future President of Senegal  .","Dec 14, 2023",2023-12-14T15:57:18.000Z
Muss,@Mukdy91,,1,11,,2.8K,https://twitter.com/Mukdy91/status/1735328502474231937,https://twitter.com/Mukdy91,,"Dec 14, 2023",2023-12-14T15:58:50.000Z
Patrick NKANGA Bekonda,@PatrickNkanga2,,1,55,2.0,6.6K,https://twitter.com/PatrickNkanga2/status/1735337257345622209,https://twitter.com/PatrickNkanga2,"Courage Camarade, 
Que le Dieu Tout-Puissant t’accompagne.","Dec 14, 2023",2023-12-14T16:33:37.000Z
Z3VM,@zeumzepek,,,,,58,https://twitter.com/zeumzepek/status/1735436763886243939,https://twitter.com/zeumzepek,"Monsieur  le Président , vous incarnez ce que nos braves ancêtres ont toujours prié ! Que Allah vous facilite, Que la Paix et La Vérité  règnent ! 
Une bataille gagnée mais le combat continue ! #Focus2024","Dec 14, 2023",2023-12-14T23:09:02.000Z
Kemi Seba Officiel,@KemiSeba1,"https://pbs.twimg.com/media/GFcB8jEWkAA4ayh?format=jpg&name=small, https://pbs.twimg.com/media/GFcB8jEWkAA4ayh?format=jpg&name=small",1.4K,4.8K,178.0,,,https://twitter.com/KemiSeba1,"Coup d’état constitutionnel au  Sénégal. La CEDEAO va t-elle intervenir?
Ah j’oubliais , elle n’intervient que quand Macron le lui demande…",,
Raamaa,@lagobrune,,2,69,,4.9K,https://twitter.com/lagobrune/status/1753873733595349263,https://twitter.com/lagobrune,"exactement, c'est le marionnettiste  ()qui donne le ton et pour l'instant les pantins sont au placard en mode attente",Feb 3,2024-02-03T20:10:58.000Z
Homophobe et fier,@KarlanMetogho,,,,1.0,907,https://twitter.com/KarlanMetogho/status/1753959093176352964,https://twitter.com/KarlanMetogho,@pikaso_me screenshot this,Feb 4,2024-02-04T01:50:09.000Z
Pikaso,@pikaso_me,"https://pbs.twimg.com/media/GFdQrKwXQAENaId?format=jpg&name=small, https://pbs.twimg.com/media/GFdQrKwXQAENaId?format=jpg&name=small",,,,916,https://twitter.com/pikaso_me/status/1753959286047150250,https://twitter.com/pikaso_me,"Enjoy your screenshot and...

Get 10 stickers for $1: https://stickermule.com/pikaso",Feb 4,2024-02-04T01:50:55.000Z
Yax,@Big_Fellah,,,,1.0,1.2K,https://twitter.com/Big_Fellah/status/1753952436329255053,https://twitter.com/Big_Fellah,@pikaso_me screenshot this,Feb 4,2024-02-04T01:23:42.000Z
Pikaso,@pikaso_me,"https://pbs.twimg.com/media/GFdKjnXXsAAfxZe?format=jpg&name=small, https://pbs.twimg.com/media/GFdKjnXXsAAfxZe?format=jpg&name=small",,,,1.2K,https://twitter.com/pikaso_me/status/1753952559201452343,https://twitter.com/pikaso_me,"Enjoy your screenshot and...

Get 10 stickers for $1: https://stickermule.com/pikaso",Feb 4,2024-02-04T01:24:11.000Z
Pikaso,@pikaso_me,"https://pbs.twimg.com/media/GFdQrKwXQAENaId?format=jpg&name=small, https://pbs.twimg.com/media/GFdQrKwXQAENaId?format=jpg&name=small",,,,916,https://twitter.com/pikaso_me/status/1753959286047150250,https://twitter.com/pikaso_me,"Enjoy your screenshot and...

Get 10 stickers for $1: https://stickermule.com/pikaso",Feb 4,2024-02-04T01:50:55.000Z
Yax,@Big_Fellah,,,,1.0,1.2K,https://twitter.com/Big_Fellah/status/1753952436329255053,https://twitter.com/Big_Fellah,@pikaso_me screenshot this,Feb 4,2024-02-04T01:23:42.000Z
Pikaso,@pikaso_me,"https://pbs.twimg.com/media/GFdKjnXXsAAfxZe?format=jpg&name=small, https://pbs.twimg.com/media/GFdKjnXXsAAfxZe?format=jpg&name=small",,,,1.2K,https://twitter.com/pikaso_me/status/1753952559201452343,https://twitter.com/pikaso_me,"Enjoy your screenshot and...

Get 10 stickers for $1: https://stickermule.com/pikaso",Feb 4,2024-02-04T01:24:11.000Z
KOKOUVI AGBODEKA,@ag_kokouvi,,,43,2.0,4.4K,https://twitter.com/ag_kokouvi/status/1753873334125933041,https://twitter.com/ag_kokouvi,Il sortira sûrement par une petite porte.,Feb 3,2024-02-03T20:09:22.000Z
𝓡𝓪𝓼𝓼𝓸𝓾𝓵_𝓜𝓪𝓴𝓮𝓻,@NouchiiB,,,1,1.0,2.4K,https://twitter.com/NouchiiB/status/1753888724721492206,https://twitter.com/NouchiiB,@pikaso_me screenshot this,Feb 3,2024-02-03T21:10:32.000Z
Pikaso,@pikaso_me,"https://pbs.twimg.com/media/GFcQldbWcAAAbiP?format=jpg&name=small, https://pbs.twimg.com/media/GFcQldbWcAAAbiP?format=jpg&name=small",1,1,,2.4K,https://twitter.com/pikaso_me/status/1753888818992746770,https://twitter.com/pikaso_me,"Enjoy your screenshot and...

Get 10 stickers for $1: https://stickermule.com/pikaso",Feb 3,2024-02-03T21:10:54.000Z
bobo,@boris87227249,"data:,",,,,39,https://twitter.com/boris87227249/status/1755947776188326035,https://twitter.com/boris87227249,#FreeSénegal ce qui se passe au Sénégal,Feb 9,2024-02-09T13:32:28.000Z
Aliou Diallo,@dian30009,,,,,114,https://twitter.com/dian30009/status/1753874509348643176,https://twitter.com/dian30009,Si la la CEDEAO menace d’intervenir @Macky_Sall va intégrer l AES,Feb 3,2024-02-03T20:14:03.000Z
Akoete,@MawQuinn,"https://pbs.twimg.com/media/GFbPK58XQAApS0e?format=jpg&name=360x360, https://pbs.twimg.com/media/GFbPK58XQAApS0e?format=jpg&name=360x360",5,25,1.0,11K,https://twitter.com/MawQuinn/status/1753981448841748606,https://twitter.com/MawQuinn,".
Le peuple Sénégalais doit se lever, de la Casamance jusqu’à Dakar passant par Tambacomda, le Grand Nord et Central pour chasser les troupes militaires occidentales inconvenables à la paix au Sénégal.

Le peuple se lève et l’armée sénégalaise fera le reste. #Macky_Sall doit",Feb 4,2024-02-04T03:18:59.000Z
Mohamed kadiatou Conte,@Mohamedkadiato8,,,1,,28,https://twitter.com/Mohamedkadiato8/status/1754267011515859237,https://twitter.com/Mohamedkadiato8,Vraiment Kemi le système françafrique n’est pas moribond j’avoue mon cher…,Feb 4,2024-02-04T22:13:42.000Z
Mbanda,@thebasekeguy,,,1,,304,https://twitter.com/thebasekeguy/status/1753877176779239656,https://twitter.com/thebasekeguy,@ecowas_cedeao  any sanctions?,Feb 3,2024-02-03T20:24:39.000Z
Jamil SOW,@JMSOW1,"https://pbs.twimg.com/media/GFcC1CkWYAAEeuR?format=jpg&name=small, https://pbs.twimg.com/media/GFcC1CkWYAAEeuR?format=jpg&name=small",5,62,2.0,2.6K,https://twitter.com/JMSOW1/status/1753873699747353075,https://twitter.com/JMSOW1,ICI C'EST LE PEUPLE SÉNÉGALAIS QUI DOIT SE SOULEVER ET DÉGAGER LE TYRAN !,Feb 3,2024-02-03T20:10:50.000Z
Poutine Jr,@jrpoutine1,,,1,,85,https://twitter.com/jrpoutine1/status/1753882840557576595,https://twitter.com/jrpoutine1,"Je ne crois pas mais est ce que Maquis Sale est malade ou quoi ? Est ce qu'ils a des vrais militaires au Senegal , au Togo , en côte d'ivoire ?",Feb 3,2024-02-03T20:47:09.000Z
Camarade Gle NÕF,@LPanafricaniste,,,1,1.0,266,https://twitter.com/LPanafricaniste/status/1753907034066506086,https://twitter.com/LPanafricaniste,"En voici un autre zozo, qui se prend pour l'épicentre de l'Afrique. Ko panafricaniste! Pffffffff! Bravo au Pr Macky pour cette bonne décision.",Feb 3,2024-02-03T22:23:17.000Z
Nam Resist,@namory2003,,,1,,112,https://twitter.com/namory2003/status/1753876624787767550,https://twitter.com/namory2003,Lui n'a plus rien à avoir dans le processus électoral.,Feb 3,2024-02-03T20:22:27.000Z
Oderoha Oghale,@OderohaO,,,,,21,https://twitter.com/OderohaO/status/1754213251485676014,https://twitter.com/OderohaO,Le coup d’état aura-t-il lieu au Sénégal  ?,Feb 4,2024-02-04T18:40:05.000Z
عبد الله ثيام,@ThiamPapy1,,,2,,379,https://twitter.com/ThiamPapy1/status/1753879013032952169,https://twitter.com/ThiamPapy1,Et @EmmanuelMacron est derrière sur ça car il (#France) veut pas sa plus grande colonie d'#Afrique mais INCHA-ALLAH le #sénégal sortira vainqueur,Feb 3,2024-02-03T20:31:56.000Z
Thiependa Diop,@amkontan,,,,,36,https://twitter.com/amkontan/status/1755367451338928521,https://twitter.com/amkontan,Qu elle cedeao ces gens ne représentent que leur petite http://personne.et pourtant ils ont condamné tous les regimes militaires. Le senegal sortira de la cedeao.,Feb 7,2024-02-07T23:06:28.000Z
Thiependa Diop,@amkontan,,,,,36,https://twitter.com/amkontan/status/1755367451338928521,https://twitter.com/amkontan,Qu elle cedeao ces gens ne représentent que leur petite http://personne.et pourtant ils ont condamné tous les regimes militaires. Le senegal sortira de la cedeao.,Feb 7,2024-02-07T23:06:28.000Z
Queen,@jarastaroots,"https://pbs.twimg.com/tweet_video_thumb/GFf4SUzXsAQ9JCE.jpg, https://pbs.twimg.com/tweet_video_thumb/GFf4SUzXsAQ9JCE.jpg, https://pbs.twimg.com/tweet_video_thumb/GFf4SUzXsAQ9JCE.jpg",,,,27,https://twitter.com/jarastaroots/status/1754143579696493042,https://twitter.com/jarastaroots,Im really disappointed this man turned into a power grabber  Its obvious Macaroni is pulling his string to usurp power..Sall times up  #Senegal,Feb 4,2024-02-04T14:03:14.000Z
LucMensah229,@mensah_luc,,,,,56,https://twitter.com/mensah_luc/status/1753897145545978321,https://twitter.com/mensah_luc,Celui qui a envoyé Macky Sall dans cette mission ne l’aime vraiment pas. Si ton patron t’envoi dans la jungle avec un baton change de patron.,Feb 3,2024-02-03T21:43:59.000Z
Benson Backen,@BensonBacken,,,,,108,https://twitter.com/BensonBacken/status/1753923345802747924,https://twitter.com/BensonBacken,"l'Afrique mon Afrique,il y a énormément à découvrir hein",Feb 3,2024-02-03T23:28:06.000Z
cherif,@sherryffff,,,,,31,https://twitter.com/sherryffff/status/1753907374606143747,https://twitter.com/sherryffff,"Comme quoi le pouvoir =( héroïne +cocaïne +hextazi+lsd+ metaphetamine )² .
Si c'est pas la main de Dieu tu as 99,99% de chance d'être accroc .",Feb 3,2024-02-03T22:24:38.000Z
Felix Ewane Ntube,@EwaneNtube,,,,,17,https://twitter.com/EwaneNtube/status/1753972528983253327,https://twitter.com/EwaneNtube,"C'est la CEDEAO elle même qui est l'orchestrateur de ce coup d'état donc n'attendons rien d'elle et leur tuteur, la Macronie !!!",Feb 4,2024-02-04T02:43:32.000Z
IsaacIsaka,@IsakaLeeP,,,,,32,https://twitter.com/IsakaLeeP/status/1754089685100437678,https://twitter.com/IsakaLeeP,La CEDEAO n'a aucune leçon à donner aux AES,Feb 4,2024-02-04T10:29:04.000Z
BERE Jean claude |  XPLUS,@bere_claude,,,,,345,https://twitter.com/bere_claude/status/1753879348111663374,https://twitter.com/bere_claude,C'est les causes des coups d'État militaire,Feb 3,2024-02-03T20:33:16.000Z
moussa kabore,@moussak24368932,,,,,414,https://twitter.com/moussak24368932/status/1753874351911276958,https://twitter.com/moussak24368932,"C'est un poulailler à Macron, il tient son agenda de lui!",Feb 3,2024-02-03T20:13:25.000Z
Cheick Ahmed Tidiane Keita,@Catk224,,,,,78,https://twitter.com/Catk224/status/1754058169054089661,https://twitter.com/Catk224,Le pouvoir rend fou comme le dit souvent Mr @LamineGuirassy,Feb 4,2024-02-04T08:23:50.000Z
AKA El hadj,@AkaElHadj,,,,,113,https://twitter.com/AkaElHadj/status/1753899795939262818,https://twitter.com/AkaElHadj,Une décision unilatérale sans référendum,Feb 3,2024-02-03T21:54:31.000Z
Macky Sall,@Macky_Sall,"https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900, https://pbs.twimg.com/media/GHk5caVW8AAQqSU?format=jpg&name=900x900",755.0,2.8K,1.5K,,,https://twitter.com/Macky_Sall,"Je condamne fermement cet acte de violence lâche et inexcusable contre la journaliste Maimouna Ndour Faye. La liberté de la presse est un droit fondamental qui doit être protégé et respecté en toutes circonstances. Aucune forme de violence ne saurait être tolérée, et les responsables de cette agression devront répondre de leurs actes devant la justice.

Je tiens à lui exprimer tout mon soutien et réitère mon engagement à garantir un environnement sûr et serein pour tous les professionnels des médias dans notre pays.",,
CHEIKH SENE,@CheikhSENE03,,,7,1,7.4K,https://twitter.com/CheikhSENE03/status/1763504221700182359,https://twitter.com/CheikhSENE03,Prompt rétablissement à elle,Mar 1,2024-03-01T09:59:05.000Z
Plan Sénégal Émergent #PSE,@PlanPse,,1.0,17,5,9.3K,https://twitter.com/PlanPse/status/1763504744197214515,https://twitter.com/PlanPse,"En tant que société, nous devons être unis dans notre condamnation de la violence contre les journalistes. L'attaque contre Maimouna Ndour Faye est une attaque contre nous tous. Nous devons rester fermes dans notre défense de la liberté de la presse. #Solidarité #Justice",Mar 1,2024-03-01T10:01:10.000Z
Le Sénégal Modèle,@senegal_modele,,1.0,4,1,6.1K,https://twitter.com/senegal_modele/status/1763505977460982217,https://twitter.com/senegal_modele,"Soutien total à Maimouna Ndour Faye, victime d'une attaque vicieuse devant chez elle. Nous ne devons jamais permettre  que la terreur règne au Sénégal ! #SolidaritéAvecMaimouna #Justice",Mar 1,2024-03-01T10:06:04.000Z
